,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Self Control,Addiction Level,CurrentActivity,ConnectionType,Clusters,DB_Clusters
141,32,Male,India,62951,True,True,Engineer,Urban,YouTube,54,18,Gaming,23,2804,5,22,35,85,Evening,6,4,Procrastination,Smartphone,Android,8,2,At home,Mobile Data,0,3
142,32,Female,Pakistan,43648,False,True,Engineer,Rural,Instagram,188,3,Life Hacks,1,8031,7,23,6,88,Evening,6,4,Habit,Smartphone,Android,8,2,At school,Mobile Data,2,1
143,43,Female,Mexico,70729,True,True,Engineer,Urban,TikTok,53,14,Pranks,12,869,6,7,3,79,Night,3,7,Entertainment,Smartphone,Android,5,5,Commuting,Mobile Data,1,0
144,59,Male,Mexico,61971,True,False,Waiting staff,Rural,Facebook,280,2,Life Hacks,18,5526,5,16,5,99,Morning,8,2,Entertainment,Smartphone,Android,10,0,At work,Mobile Data,0,3
145,30,Other,India,38658,False,True,Engineer,Rural,TikTok,87,14,Life Hacks,16,7741,2,9,9,64,Evening,6,4,Habit,Tablet,iOS,8,2,Commuting,Mobile Data,2,1
146,49,Male,Vietnam,41253,False,False,Waiting staff,Rural,TikTok,187,11,Life Hacks,12,4694,8,27,28,25,Night,3,7,Procrastination,Smartphone,iOS,5,5,At work,Mobile Data,3,2
147,56,Male,Germany,84166,True,False,Labor/Worker,Urban,TikTok,12,16,Jokes/Memes,20,8998,7,24,19,55,Morning,8,2,Procrastination,Smartphone,Android,10,0,At home,Wi-Fi,0,3
148,49,Other,Mexico,68563,True,False,Engineer,Rural,Facebook,223,8,Vlogs,13,1934,6,29,28,9,Evening,6,4,Boredom,Smartphone,iOS,8,2,At home,Wi-Fi,4,4
149,21,Male,Japan,46390,False,False,Cashier,Rural,Instagram,83,7,Trends,8,5172,5,17,27,17,Evening,6,4,Habit,Smartphone,iOS,8,2,At school,Mobile Data,2,1
150,47,Other,United States,71578,True,False,Artist,Urban,TikTok,60,11,Entertainment,27,703,5,20,13,21,Afternoon,5,5,Habit,Smartphone,Android,7,3,At home,Mobile Data,4,4
151,54,Male,India,99025,True,True,driver,Rural,Facebook,76,3,Gaming,29,2523,9,7,38,60,Night,3,7,Habit,Tablet,Android,5,5,At home,Mobile Data,1,0
152,40,Male,India,52658,True,False,Students,Rural,YouTube,102,17,Life Hacks,26,2639,1,11,43,13,Evening,6,4,Entertainment,Smartphone,Windows,8,2,At home,Mobile Data,0,3
153,56,Other,India,26852,False,False,Waiting staff,Urban,Facebook,185,14,Trends,22,6159,9,8,21,3,Afternoon,5,5,Habit,Smartphone,iOS,7,3,At home,Mobile Data,2,1
154,62,Male,United States,22551,False,True,Students,Urban,YouTube,154,6,Entertainment,1,3909,6,7,27,68,Night,3,7,Boredom,Smartphone,Android,5,5,At school,Mobile Data,3,2
155,32,Male,United States,91947,True,True,Students,Urban,Facebook,16,8,Vlogs,26,1164,4,28,46,4,Afternoon,5,5,Boredom,Smartphone,MacOS,7,3,At home,Mobile Data,4,4
156,60,Female,Japan,81001,True,True,Students,Rural,Instagram,278,5,Pranks,21,619,7,19,6,92,Night,3,7,Boredom,Smartphone,MacOS,5,5,At work,Wi-Fi,1,0
157,46,Other,Pakistan,69159,True,False,driver,Rural,TikTok,13,8,Pranks,7,7982,9,20,38,7,Night,3,7,Boredom,Tablet,Android,5,5,At school,Mobile Data,1,0
158,53,Female,Vietnam,71707,True,False,Manager,Rural,Instagram,147,2,Jokes/Memes,15,3066,5,12,49,26,Evening,6,4,Procrastination,Computer,iOS,8,2,At school,Mobile Data,4,4
159,30,Other,India,53243,True,False,Students,Rural,Facebook,240,15,Jokes/Memes,29,4872,5,7,11,75,Evening,6,4,Entertainment,Smartphone,Android,8,2,Commuting,Mobile Data,0,3
160,49,Male,India,41800,False,True,Waiting staff,Rural,TikTok,97,12,Life Hacks,22,8638,8,8,47,24,Afternoon,5,5,Entertainment,Tablet,Android,7,3,At work,Wi-Fi,2,1
161,24,Male,Indonesia,95939,True,False,Labor/Worker,Urban,YouTube,26,17,Trends,13,2337,7,7,41,10,Afternoon,5,5,Habit,Smartphone,iOS,7,3,At home,Wi-Fi,0,3
162,39,Other,Japan,77828,True,False,Students,Rural,Facebook,61,1,Gaming,13,8400,8,6,17,13,Night,3,7,Boredom,Smartphone,Windows,5,5,At work,Mobile Data,1,0
163,45,Male,India,27239,False,False,Manager,Rural,TikTok,143,15,Entertainment,28,5594,2,25,39,44,Evening,6,4,Entertainment,Smartphone,Windows,8,2,At home,Mobile Data,2,1
164,19,Male,Japan,26710,False,False,Cashier,Urban,YouTube,220,14,Jokes/Memes,9,2460,9,9,7,39,Evening,6,4,Boredom,Smartphone,MacOS,8,2,Commuting,Mobile Data,2,1
165,59,Male,Japan,41384,False,True,Engineer,Urban,YouTube,228,16,Entertainment,24,6820,3,27,30,19,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At work,Mobile Data,2,1
166,62,Male,Philippines,41038,False,False,Labor/Worker,Rural,Instagram,214,9,Gaming,15,5546,6,13,21,51,Evening,6,4,Habit,Computer,Windows,8,2,At school,Mobile Data,2,1
167,23,Male,Japan,60846,True,True,Students,Urban,Facebook,220,1,Gaming,4,3442,6,7,1,19,Evening,6,4,Entertainment,Tablet,iOS,8,2,At school,Wi-Fi,4,4
168,45,Female,United States,87821,True,False,Waiting staff,Rural,YouTube,286,17,Trends,13,2711,2,8,25,76,Afternoon,5,5,Habit,Smartphone,MacOS,7,3,At work,Mobile Data,0,3
169,45,Female,Philippines,57991,True,True,Labor/Worker,Rural,TikTok,33,13,Trends,27,1291,7,22,32,52,Afternoon,5,5,Entertainment,Smartphone,Windows,7,3,At home,Mobile Data,4,4
170,61,Male,Japan,99057,True,False,driver,Rural,YouTube,13,5,Life Hacks,12,5374,9,17,8,86,Afternoon,5,5,Habit,Smartphone,iOS,7,3,At school,Wi-Fi,4,4
171,61,Male,Germany,26971,False,True,Students,Rural,YouTube,161,10,Jokes/Memes,5,9592,1,17,5,47,Night,3,7,Entertainment,Tablet,Android,5,5,At work,Mobile Data,3,2
172,37,Female,United States,49139,False,False,Cashier,Rural,Instagram,268,6,Entertainment,7,2655,8,16,30,30,Night,3,7,Habit,Smartphone,Android,5,5,At work,Mobile Data,3,2
173,47,Male,India,97067,True,True,Cashier,Rural,Instagram,177,19,Gaming,8,6513,2,22,8,46,Evening,6,4,Entertainment,Tablet,Android,8,2,At home,Mobile Data,0,3
174,28,Male,Philippines,57711,True,False,Students,Urban,TikTok,185,13,ASMR,5,7394,1,2,49,76,Night,3,7,Entertainment,Smartphone,MacOS,5,5,Commuting,Wi-Fi,1,0
175,45,Female,Indonesia,26530,False,True,Teacher,Urban,Instagram,65,1,Life Hacks,9,704,8,8,19,93,Evening,6,4,Habit,Smartphone,Android,8,2,At work,Mobile Data,2,1
176,42,Male,United States,31116,False,False,Waiting staff,Rural,YouTube,117,15,ASMR,14,825,2,17,44,21,Morning,8,2,Boredom,Smartphone,Android,10,0,At home,Wi-Fi,2,1
177,56,Female,Indonesia,85794,True,True,Labor/Worker,Rural,YouTube,150,14,Trends,26,9196,6,13,30,75,Evening,6,4,Boredom,Tablet,MacOS,8,2,At school,Mobile Data,0,3
178,50,Male,India,20282,False,False,driver,Urban,Instagram,164,8,Trends,12,376,6,18,15,48,Afternoon,5,5,Habit,Smartphone,Android,7,3,At work,Mobile Data,2,1
179,18,Other,Indonesia,99473,True,True,Waiting staff,Urban,YouTube,271,10,Vlogs,4,972,5,24,36,62,Afternoon,5,5,Entertainment,Smartphone,iOS,7,3,At home,Mobile Data,4,4
180,44,Female,India,21898,False,False,Engineer,Rural,YouTube,282,9,Life Hacks,20,4213,8,28,44,58,Evening,6,4,Procrastination,Computer,iOS,8,2,At school,Mobile Data,2,1
181,30,Female,India,24135,False,True,driver,Rural,TikTok,241,17,Life Hacks,29,443,3,22,27,18,Evening,6,4,Procrastination,Tablet,Android,8,2,At school,Mobile Data,2,1
182,58,Male,Philippines,26629,False,False,Labor/Worker,Rural,Instagram,250,9,Jokes/Memes,8,7519,4,28,13,59,Evening,6,4,Habit,Smartphone,iOS,8,2,At school,Wi-Fi,2,1
183,20,Female,Japan,85031,True,True,Cashier,Rural,YouTube,267,3,ASMR,17,754,7,10,14,91,Evening,6,4,Habit,Tablet,MacOS,8,2,At school,Mobile Data,0,3
184,56,Male,Barzil,53380,True,False,Labor/Worker,Rural,Instagram,258,11,Pranks,8,4735,7,2,37,48,Night,3,7,Entertainment,Smartphone,MacOS,5,5,At home,Wi-Fi,1,0
185,23,Male,India,37071,False,True,Labor/Worker,Urban,TikTok,86,12,Jokes/Memes,21,5396,8,2,48,63,Evening,6,4,Entertainment,Smartphone,iOS,8,2,At work,Mobile Data,2,1
186,25,Male,Philippines,40074,False,False,Artist,Rural,Instagram,189,10,Entertainment,29,3465,2,27,30,12,Afternoon,5,5,Procrastination,Tablet,Android,7,3,At home,Mobile Data,2,1
187,44,Male,Germany,87843,True,True,Waiting staff,Urban,YouTube,75,17,Life Hacks,27,2711,2,14,39,87,Morning,8,2,Procrastination,Smartphone,Android,10,0,At work,Mobile Data,0,3
188,26,Female,India,59901,True,True,driver,Rural,Instagram,180,17,Entertainment,1,2407,4,16,47,34,Morning,8,2,Entertainment,Smartphone,Windows,10,0,Commuting,Wi-Fi,0,3
189,54,Male,Mexico,31205,False,True,Teacher,Rural,YouTube,31,11,Pranks,20,8814,9,7,13,61,Morning,8,2,Habit,Smartphone,Android,10,0,At home,Mobile Data,2,1
190,50,Male,Indonesia,75661,True,True,Engineer,Rural,YouTube,116,4,Entertainment,2,5588,9,21,16,87,Evening,6,4,Boredom,Smartphone,Android,8,2,At work,Wi-Fi,0,3
191,59,Other,Barzil,25906,False,False,driver,Rural,YouTube,236,7,Life Hacks,4,6104,4,21,44,53,Evening,6,4,Entertainment,Smartphone,iOS,8,2,At home,Wi-Fi,2,1
192,61,Male,Japan,22591,False,True,Waiting staff,Urban,TikTok,225,14,Jokes/Memes,24,5747,9,24,7,25,Evening,6,4,Habit,Smartphone,iOS,8,2,At home,Wi-Fi,2,1
193,41,Female,United States,82987,True,True,Labor/Worker,Rural,Instagram,78,7,Vlogs,21,1723,3,12,48,62,Afternoon,5,5,Entertainment,Smartphone,MacOS,7,3,At home,Mobile Data,4,4
194,32,Other,India,83370,True,True,Teacher,Urban,TikTok,93,8,Trends,1,7224,5,28,27,4,Evening,6,4,Habit,Tablet,Android,8,2,At school,Wi-Fi,4,4
195,49,Male,Vietnam,74400,True,False,Waiting staff,Rural,Instagram,112,1,Life Hacks,7,1919,9,23,45,94,Evening,6,4,Habit,Tablet,Android,8,2,At home,Mobile Data,4,4
196,49,Male,Pakistan,45150,False,True,Waiting staff,Rural,TikTok,48,4,Jokes/Memes,1,918,6,28,35,94,Evening,6,4,Habit,Smartphone,Android,8,2,At home,Mobile Data,2,1
197,41,Male,Barzil,51852,True,False,Manager,Urban,Facebook,22,12,Gaming,9,4215,3,14,15,13,Night,3,7,Habit,Smartphone,MacOS,5,5,At work,Wi-Fi,1,0
198,58,Male,United States,62870,True,False,Artist,Rural,YouTube,190,3,Pranks,3,581,9,25,28,42,Morning,8,2,Boredom,Computer,Android,10,0,At home,Wi-Fi,0,3
199,29,Male,India,72756,True,False,Students,Rural,YouTube,277,13,Entertainment,12,3881,6,4,35,49,Evening,6,4,Boredom,Smartphone,Android,8,2,Commuting,Mobile Data,0,3
200,56,Other,Vietnam,76481,True,False,Labor/Worker,Rural,TikTok,22,6,Pranks,19,9878,4,26,7,78,Evening,6,4,Entertainment,Tablet,Android,8,2,At school,Wi-Fi,4,4
201,19,Female,Philippines,21283,False,False,driver,Rural,Facebook,129,11,Jokes/Memes,15,3909,4,4,46,56,Morning,8,2,Habit,Computer,MacOS,10,0,At home,Mobile Data,2,1
202,20,Female,Japan,53691,True,True,Labor/Worker,Rural,YouTube,66,4,Trends,22,1999,8,18,46,47,Evening,6,4,Habit,Smartphone,Windows,8,2,At home,Mobile Data,4,4
203,54,Female,India,21125,False,False,Artist,Rural,Instagram,49,16,Gaming,16,400,7,3,20,8,Night,3,7,Habit,Smartphone,Android,5,5,At school,Wi-Fi,3,2
204,34,Male,India,87065,True,False,Students,Rural,TikTok,137,7,Trends,10,3648,1,1,32,55,Night,3,7,Boredom,Computer,Android,5,5,Commuting,Wi-Fi,1,0
205,19,Male,India,46170,False,True,Engineer,Urban,YouTube,182,11,Gaming,22,5445,6,17,38,88,Evening,6,4,Boredom,Computer,Android,8,2,At school,Mobile Data,2,1
206,19,Male,India,28438,False,True,Waiting staff,Rural,YouTube,44,1,Life Hacks,29,2628,8,7,40,18,Night,3,7,Habit,Smartphone,Windows,5,5,At school,Wi-Fi,3,2
207,45,Female,Vietnam,40095,False,True,Waiting staff,Rural,TikTok,268,7,Comedy,27,1656,3,16,32,35,Evening,6,4,Habit,Smartphone,Android,8,2,Commuting,Wi-Fi,2,1
208,40,Male,Indonesia,36154,False,False,driver,Rural,TikTok,14,12,Entertainment,27,620,9,5,26,89,Night,3,7,Habit,Smartphone,Android,5,5,At home,Mobile Data,3,2
209,54,Male,Pakistan,28004,False,False,driver,Rural,Instagram,227,7,Entertainment,6,246,2,19,39,81,Evening,6,4,Procrastination,Computer,iOS,8,2,At school,Wi-Fi,2,1
210,49,Female,Germany,29752,False,False,Students,Rural,Instagram,20,7,Gaming,29,5212,6,7,20,32,Evening,6,4,Habit,Tablet,MacOS,8,2,At home,Mobile Data,2,1
211,50,Other,India,75426,True,True,Manager,Rural,YouTube,126,10,Vlogs,17,3339,1,14,18,24,Afternoon,5,5,Habit,Smartphone,Android,7,3,At work,Wi-Fi,0,3
212,18,Other,Mexico,46819,False,False,Waiting staff,Urban,YouTube,193,16,Trends,21,6758,2,2,15,7,Evening,6,4,Boredom,Smartphone,Android,8,2,At school,Mobile Data,2,1
213,36,Female,Pakistan,44217,False,False,Labor/Worker,Rural,TikTok,125,8,Life Hacks,28,7086,5,3,22,13,Evening,6,4,Habit,Smartphone,iOS,8,2,At work,Mobile Data,2,1
214,19,Male,India,52994,True,False,Students,Rural,YouTube,171,9,Jokes/Memes,22,3010,1,17,22,91,Evening,6,4,Boredom,Smartphone,iOS,8,2,At school,Mobile Data,0,3
215,61,Male,Japan,35036,False,False,Artist,Rural,YouTube,76,9,Entertainment,24,4719,8,16,21,69,Night,3,7,Habit,Tablet,iOS,5,5,At home,Mobile Data,3,2
216,43,Male,India,97275,True,True,Engineer,Rural,TikTok,209,2,Gaming,29,2368,1,8,2,90,Evening,6,4,Entertainment,Computer,Android,8,2,At home,Mobile Data,4,4
217,49,Male,United States,69416,True,False,Waiting staff,Urban,YouTube,40,13,Life Hacks,17,1839,9,18,40,42,Morning,8,2,Procrastination,Smartphone,Android,10,0,At home,Mobile Data,0,3
218,23,Other,Pakistan,29587,False,True,Manager,Rural,YouTube,84,13,Comedy,21,2903,3,15,43,31,Night,3,7,Procrastination,Smartphone,Android,5,5,Commuting,Mobile Data,3,2
219,49,Male,Mexico,20645,False,False,Manager,Rural,Facebook,246,4,Pranks,19,6205,2,7,18,74,Night,3,7,Procrastination,Smartphone,iOS,5,5,At home,Mobile Data,3,2
220,21,Male,India,50930,True,True,Students,Urban,Instagram,75,12,Trends,18,4395,1,27,23,26,Night,3,7,Boredom,Smartphone,Android,5,5,At school,Mobile Data,1,0
221,28,Male,Indonesia,50090,True,False,Students,Rural,TikTok,79,17,Life Hacks,11,5767,9,9,13,86,Evening,6,4,Entertainment,Computer,MacOS,8,2,At work,Wi-Fi,0,3
222,34,Other,Vietnam,72142,True,True,Waiting staff,Rural,Facebook,29,2,Vlogs,24,3691,4,6,41,76,Afternoon,5,5,Entertainment,Tablet,iOS,7,3,At school,Mobile Data,4,4
223,55,Other,United States,46475,False,False,Students,Rural,Instagram,235,13,ASMR,7,7470,1,18,9,32,Evening,6,4,Habit,Tablet,iOS,8,2,At school,Wi-Fi,2,1
224,41,Male,Philippines,38888,False,True,Labor/Worker,Rural,Instagram,208,18,Life Hacks,10,3841,1,18,49,91,Evening,6,4,Boredom,Tablet,Windows,8,2,At home,Mobile Data,2,1
225,22,Male,Pakistan,63732,True,False,Manager,Rural,Instagram,48,15,Pranks,7,4348,7,25,7,97,Evening,6,4,Boredom,Smartphone,Android,8,2,At work,Wi-Fi,0,3
226,51,Male,Japan,66305,True,True,Engineer,Rural,Facebook,154,8,Entertainment,5,6621,2,26,41,52,Night,3,7,Habit,Computer,MacOS,5,5,At work,Wi-Fi,1,0
227,23,Male,Vietnam,66037,True,False,Engineer,Rural,Facebook,54,15,Trends,12,1392,7,24,1,20,Night,3,7,Habit,Smartphone,Android,5,5,At school,Wi-Fi,1,0
228,39,Other,United States,29346,False,True,Manager,Rural,Instagram,100,1,Gaming,16,6060,7,14,2,40,Evening,6,4,Habit,Tablet,Android,8,2,At home,Mobile Data,2,1
229,28,Male,India,20587,False,False,Labor/Worker,Rural,YouTube,247,10,Life Hacks,29,4255,9,14,4,59,Night,3,7,Entertainment,Computer,Android,5,5,At home,Mobile Data,3,2
230,33,Female,United States,32763,False,True,Students,Rural,YouTube,79,12,Pranks,25,4300,7,14,14,77,Night,3,7,Boredom,Tablet,MacOS,5,5,At school,Mobile Data,3,2
231,50,Male,Vietnam,79165,True,False,Cashier,Rural,Facebook,175,5,Life Hacks,21,3338,1,25,32,14,Night,3,7,Entertainment,Tablet,iOS,5,5,At school,Mobile Data,1,0
232,26,Other,United States,89615,True,True,Students,Urban,Facebook,139,9,Life Hacks,18,5487,8,4,36,44,Night,3,7,Boredom,Smartphone,Android,5,5,At home,Wi-Fi,1,0
233,23,Male,Germany,56116,True,False,Waiting staff,Urban,Facebook,223,8,ASMR,3,3514,8,4,2,86,Afternoon,5,5,Entertainment,Tablet,iOS,7,3,Commuting,Mobile Data,0,3
234,33,Female,Barzil,45556,False,True,driver,Urban,Instagram,98,16,Trends,20,759,4,15,40,82,Evening,6,4,Boredom,Smartphone,iOS,8,2,Commuting,Mobile Data,2,1
235,46,Female,Indonesia,79042,True,False,Students,Urban,YouTube,261,14,Life Hacks,15,9915,8,15,14,48,Evening,6,4,Procrastination,Computer,Android,8,2,At school,Wi-Fi,4,4
236,20,Other,India,38099,False,True,Teacher,Rural,Facebook,81,13,Jokes/Memes,5,8621,4,18,20,93,Morning,8,2,Habit,Computer,MacOS,10,0,At home,Mobile Data,2,1
237,37,Female,Vietnam,65096,True,False,Artist,Rural,Facebook,174,13,Trends,13,6793,8,14,25,43,Night,3,7,Habit,Tablet,Android,5,5,At work,Mobile Data,1,0
238,53,Male,Germany,91986,True,True,Students,Rural,TikTok,58,5,Jokes/Memes,19,2459,5,26,42,16,Evening,6,4,Habit,Computer,iOS,8,2,At school,Mobile Data,4,4
239,36,Female,Germany,33230,False,True,Waiting staff,Rural,Instagram,61,16,Jokes/Memes,12,5273,4,1,49,35,Afternoon,5,5,Procrastination,Tablet,iOS,7,3,Commuting,Wi-Fi,2,1
240,43,Other,Philippines,49009,False,True,Waiting staff,Rural,TikTok,298,11,Life Hacks,23,1718,6,10,8,53,Afternoon,5,5,Entertainment,Smartphone,Windows,7,3,At work,Mobile Data,2,1
241,20,Other,United States,90969,True,True,Cashier,Rural,YouTube,287,5,Life Hacks,21,9457,2,29,28,34,Evening,6,4,Entertainment,Tablet,Android,8,2,At school,Mobile Data,4,4
242,36,Male,Barzil,53866,True,False,driver,Rural,TikTok,123,13,Life Hacks,5,5423,2,20,46,3,Night,3,7,Procrastination,Smartphone,Android,5,5,At school,Mobile Data,1,0
243,37,Female,Germany,96975,True,True,driver,Rural,TikTok,248,11,ASMR,6,1308,2,10,21,68,Night,3,7,Habit,Smartphone,iOS,5,5,At home,Wi-Fi,1,0
244,49,Male,Barzil,61855,True,False,Waiting staff,Urban,TikTok,142,19,Jokes/Memes,7,1050,9,10,23,5,Evening,6,4,Procrastination,Smartphone,Android,8,2,At school,Mobile Data,0,3
245,24,Male,United States,26416,False,False,driver,Rural,Instagram,283,3,Life Hacks,26,5479,3,27,32,10,Night,3,7,Habit,Smartphone,Android,5,5,At home,Mobile Data,3,2
246,58,Male,Vietnam,92516,True,False,Students,Rural,YouTube,175,15,Jokes/Memes,10,2249,4,24,8,52,Morning,8,2,Entertainment,Computer,Windows,10,0,At home,Mobile Data,4,4
247,50,Female,Japan,75915,True,False,Students,Rural,TikTok,252,7,Life Hacks,16,2809,8,2,31,29,Evening,6,4,Habit,Smartphone,Windows,8,2,At home,Mobile Data,4,4
248,57,Female,United States,38058,False,False,Students,Rural,Instagram,147,7,Jokes/Memes,8,2921,4,29,37,96,Afternoon,5,5,Habit,Smartphone,iOS,7,3,At school,Mobile Data,2,1
249,56,Male,Germany,96637,True,True,Labor/Worker,Rural,YouTube,88,6,Trends,9,4676,7,28,16,31,Afternoon,5,5,Procrastination,Smartphone,Android,7,3,At work,Mobile Data,4,4
250,35,Other,India,60718,True,False,Waiting staff,Urban,Facebook,179,3,Gaming,27,4041,5,27,40,66,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At home,Mobile Data,4,4
251,57,Female,United States,52602,True,False,driver,Rural,TikTok,132,13,Entertainment,4,2417,9,8,42,76,Night,3,7,Habit,Smartphone,Android,5,5,At home,Mobile Data,1,0
252,18,Female,United States,94658,True,True,Engineer,Rural,YouTube,185,7,Comedy,21,532,4,1,27,91,Evening,6,4,Habit,Smartphone,Windows,8,2,At work,Mobile Data,0,3
253,28,Male,Philippines,98112,True,True,driver,Urban,TikTok,91,5,Gaming,21,9090,3,1,40,69,Afternoon,5,5,Habit,Smartphone,Android,7,3,At work,Mobile Data,4,4
254,45,Female,Indonesia,78067,True,True,Waiting staff,Rural,Facebook,96,18,Pranks,8,8167,2,4,41,37,Afternoon,5,5,Procrastination,Tablet,iOS,7,3,At work,Mobile Data,4,4
255,42,Female,India,47516,False,False,Labor/Worker,Rural,YouTube,234,8,Vlogs,25,1469,1,7,18,27,Afternoon,5,5,Habit,Smartphone,MacOS,7,3,Commuting,Mobile Data,2,1
256,40,Male,India,21089,False,False,Engineer,Rural,Instagram,25,17,Life Hacks,7,9444,6,9,35,87,Night,3,7,Procrastination,Smartphone,Windows,5,5,At home,Wi-Fi,3,2
257,48,Male,Philippines,57346,True,False,Engineer,Rural,YouTube,172,1,Life Hacks,15,7292,2,16,49,33,Evening,6,4,Boredom,Smartphone,Windows,8,2,Commuting,Wi-Fi,0,3
258,47,Male,United States,94663,True,True,Labor/Worker,Rural,Instagram,107,14,ASMR,21,8961,8,5,15,68,Evening,6,4,Habit,Smartphone,iOS,8,2,At school,Wi-Fi,4,4
259,59,Male,United States,30487,False,False,Waiting staff,Urban,YouTube,165,17,Pranks,3,9025,6,2,27,59,Evening,6,4,Boredom,Smartphone,Android,8,2,At work,Mobile Data,2,1
260,52,Male,United States,20155,False,False,Artist,Rural,Instagram,11,10,Entertainment,17,7142,5,28,17,64,Evening,6,4,Habit,Smartphone,iOS,8,2,At school,Wi-Fi,2,1
261,24,Male,Germany,87494,True,False,Students,Rural,Facebook,178,12,Pranks,11,6000,2,23,40,85,Morning,8,2,Boredom,Smartphone,Windows,10,0,At work,Mobile Data,0,3
262,33,Other,Philippines,96229,True,False,driver,Rural,Facebook,101,16,Life Hacks,9,7081,7,11,2,88,Evening,6,4,Entertainment,Smartphone,Windows,8,2,At school,Mobile Data,4,4
263,43,Male,Vietnam,58547,True,True,Labor/Worker,Rural,Facebook,190,14,Entertainment,5,4649,2,18,49,44,Morning,8,2,Entertainment,Tablet,Android,10,0,At school,Wi-Fi,0,3
264,19,Male,India,48795,False,False,Students,Urban,YouTube,240,16,Vlogs,25,6931,5,25,31,95,Night,3,7,Procrastination,Computer,MacOS,5,5,At work,Mobile Data,3,2
265,18,Male,Mexico,75296,True,True,driver,Rural,Facebook,157,8,Pranks,10,3424,2,25,37,88,Afternoon,5,5,Habit,Tablet,Android,7,3,Commuting,Mobile Data,0,3
266,29,Male,Pakistan,41447,False,False,driver,Rural,TikTok,289,10,Jokes/Memes,15,1091,2,19,41,49,Evening,6,4,Habit,Smartphone,Android,8,2,At home,Mobile Data,2,1
267,22,Male,United States,56598,True,True,Artist,Urban,Facebook,198,17,Vlogs,28,9388,7,13,41,53,Night,3,7,Habit,Tablet,iOS,5,5,At school,Wi-Fi,1,0
268,54,Female,India,61814,True,False,Waiting staff,Urban,Instagram,137,18,Pranks,29,9852,9,24,34,74,Night,3,7,Habit,Smartphone,MacOS,5,5,At school,Mobile Data,1,0
269,49,Female,India,95330,True,True,driver,Rural,Instagram,16,16,Comedy,14,7849,5,11,34,49,Evening,6,4,Boredom,Smartphone,Android,8,2,At home,Wi-Fi,0,3
270,26,Male,India,83278,True,False,Labor/Worker,Rural,Instagram,56,17,ASMR,4,4654,7,20,3,66,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At work,Mobile Data,0,3
271,58,Other,Philippines,75077,True,True,driver,Rural,YouTube,62,16,Gaming,21,260,4,19,17,95,Afternoon,5,5,Habit,Tablet,Android,7,3,At home,Mobile Data,4,4
272,52,Other,United States,91906,True,False,Waiting staff,Rural,TikTok,196,19,Pranks,20,5936,2,17,14,63,Evening,6,4,Boredom,Tablet,MacOS,8,2,At home,Mobile Data,4,4
273,36,Male,Pakistan,29528,False,True,Waiting staff,Rural,Facebook,47,8,Comedy,2,9377,3,5,14,25,Evening,6,4,Entertainment,Computer,Android,8,2,At work,Wi-Fi,2,1
274,33,Female,Japan,70100,True,False,Labor/Worker,Rural,TikTok,235,6,Jokes/Memes,12,4370,2,13,46,4,Evening,6,4,Entertainment,Tablet,iOS,8,2,Commuting,Mobile Data,0,3
275,20,Female,Germany,28179,False,True,driver,Rural,TikTok,62,6,Pranks,1,4301,5,27,38,51,Night,3,7,Entertainment,Smartphone,Android,5,5,At school,Mobile Data,3,2
276,37,Male,Barzil,68781,True,True,Engineer,Rural,Instagram,233,9,Trends,24,7207,6,20,35,11,Night,3,7,Entertainment,Smartphone,iOS,5,5,At home,Mobile Data,1,0
277,41,Other,Vietnam,75267,True,True,Labor/Worker,Rural,Instagram,163,4,Vlogs,20,5819,7,1,1,17,Afternoon,5,5,Entertainment,Tablet,iOS,7,3,Commuting,Mobile Data,4,4
278,50,Male,Pakistan,43952,False,True,Teacher,Rural,Instagram,57,12,Gaming,5,9058,3,10,48,66,Night,3,7,Habit,Tablet,Windows,5,5,At home,Mobile Data,3,2
279,41,Other,Barzil,73798,True,True,Cashier,Rural,YouTube,156,12,Vlogs,6,92,4,8,29,70,Evening,6,4,Habit,Tablet,Android,8,2,At work,Mobile Data,0,3
280,28,Female,Philippines,70939,True,True,Waiting staff,Rural,TikTok,73,17,Pranks,24,5161,8,24,4,73,Morning,8,2,Boredom,Smartphone,Android,10,0,At home,Wi-Fi,0,3
281,25,Female,Barzil,49516,False,True,Students,Rural,TikTok,191,15,Vlogs,11,7632,4,29,33,69,Evening,6,4,Boredom,Tablet,Android,8,2,At work,Wi-Fi,2,1
282,53,Male,Mexico,76526,True,True,Teacher,Rural,YouTube,134,9,Gaming,8,9543,7,8,17,84,Evening,6,4,Procrastination,Computer,iOS,8,2,At home,Mobile Data,4,4
283,55,Male,India,30449,False,True,Labor/Worker,Rural,YouTube,188,7,Trends,7,6208,6,19,28,29,Evening,6,4,Boredom,Smartphone,iOS,8,2,Commuting,Wi-Fi,2,1
284,57,Male,Pakistan,70290,True,True,Students,Urban,YouTube,48,10,Entertainment,4,8556,7,6,26,85,Afternoon,5,5,Habit,Computer,Android,7,3,At work,Mobile Data,4,4
